Message,DateTime
showCategories,2021-05-07T18:50:37.000454600
addCategory,2021-05-07T18:51:06.085541800
showCategories,2021-05-07T18:51:12.224644600
Message,DateTime
showCategories,2021-05-07T18:51:39.028267700
Message,DateTime
deleteFromStore,2021-05-07T18:54:44.064545900
Message,DateTime
deleteFromStore,2021-05-07T18:56:13.733394400
deleteFromStore,2021-05-07T18:56:20.872541100
Message,DateTime
deleteFromStore,2021-05-07T18:57:11.397399600
Message,DateTime
checkItem,2021-05-07T18:57:39.698892100
storeWithTheMostProductsOnStock,2021-05-07T18:57:51.191534
Message,DateTime
Message,DateTime
Message,DateTime
Message,DateTime
Message,DateTime
Message,DateTime
Message,DateTime
Message,DateTime
addCategory,2021-05-27T23:23:37.895623600
Message,DateTime
deleteCategory,2021-05-27T23:30:27.245374300
Message,DateTime
showCategories,2021-05-27T23:36:53.358976800
Message,DateTime
Message,DateTime
Message,DateTime
Message,DateTime
addCategory,2021-05-27T23:55:32.968750500
showCategories,2021-05-27T23:55:45.522491500
Message,DateTime
addCategory,2021-05-27T23:57:07.441449300
Message,DateTime
addCategory,2021-05-27T23:57:56.038064
Message,DateTime
addCategory,2021-05-27T23:58:48.665558900
Message,DateTime
addCategory,2021-05-27T23:59:53.753349200
Message,DateTime
addCategory,2021-05-28T00:01:05.204759900
showCategories,2021-05-28T00:03:38.899486500
Message,DateTime
addCategory,2021-05-28T00:04:56.666753100
Message,DateTime
addCategory,2021-05-28T00:06:44.908575600
Message,DateTime
showCategories,2021-05-28T00:12:54.565988300
Message,DateTime
Message,DateTime
addCategory,2021-05-28T00:16:12.071891400
Message,DateTime
addCategory,2021-05-28T00:18:01.342351300
